file_abs_path_native,file_id_native,download_url_native,file_md5,file_abs_path_croissant,file_id_croissant,download_url_croissant,file_abs_path_match,file_id_match
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/150_12minutes/4point5_MPa_Trial3.csv,885795,https://borealisdata.ca/api/access/datafile/885795,4d3c2a30ec558ecbc87d6e8472634d5e,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/80_6minutes/4point5_MPa_Trial3.csv,885825,https://borealisdata.ca/api/access/datafile/885825?format=original,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/80_12minutes/10_MPa_Trial3.csv,885818,https://borealisdata.ca/api/access/datafile/885818?format=original,55bf3e50e0d7a5c5744e7cd1bec7b2c7,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Press_Position_Evaluation_Temp_Data/10_MPa_Trial3.csv,885776,https://borealisdata.ca/api/access/datafile/885776?format=original,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/150_12minutes/0point2_MPa_Trial1.csv,885741,https://borealisdata.ca/api/access/datafile/885741,56503556cd08d723e8509423798daad8,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/80_6minutes/0point2_MPa_Trial1.csv,885768,https://borealisdata.ca/api/access/datafile/885768?format=original,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/80_6minutes/4point5_MPa_Trial1.csv,885772,https://borealisdata.ca/api/access/datafile/885772?format=original,61a9c04c3276d39a2fe063e638c36269,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Press_Position_Evaluation_Temp_Data/4point5_MPa_Trial1.csv,885780,https://borealisdata.ca/api/access/datafile/885780?format=original,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Press_Position_Evaluation_Temp_Data/Press_Path1_80_Trial9.csv,885788,https://borealisdata.ca/api/access/datafile/885788?format=original,63ec0255c3b52cdb551e18dd7704b005,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/150_12minutes/Press_Path1_80_Trial9.csv,885739,https://borealisdata.ca/api/access/datafile/885739,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/MATLAB_Scripts_Inverse_Heat_Conduction_Analaysis/getFileName.m,885800,https://borealisdata.ca/api/access/datafile/885800,646f87eb9066251d83aa8d416f5ccd3e,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/80_12minutes/getFileName.m,885766,https://borealisdata.ca/api/access/datafile/885766?format=original,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Press_Position_Evaluation_Temp_Data/Press_Path2_150_Trial2.csv,885804,https://borealisdata.ca/api/access/datafile/885804?format=original,66138ed3b7ae7d42e1a8ee84d2964e1d,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/150_6minutes/Press_Path2_150_Trial2.csv,885809,https://borealisdata.ca/api/access/datafile/885809?format=original,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/150_12minutes/6_MPa_Trial2.csv,885785,https://borealisdata.ca/api/access/datafile/885785?format=original,66d359a8a2ad5f00f5c780d1ec5f8c79,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/150_6minutes/6_MPa_Trial2.csv,885778,https://borealisdata.ca/api/access/datafile/885778?format=original,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/80_12minutes/0point2_MPa_Trial1.csv,885754,https://borealisdata.ca/api/access/datafile/885754?format=original,68984be44bccd220665808960f4b8dcc,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/MATLAB_Scripts_Inverse_Heat_Conduction_Analaysis/0point2_MPa_Trial1.csv,885732,https://borealisdata.ca/api/access/datafile/885732,False,False
Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/MATLAB_Scripts_Inverse_Heat_Conduction_Analaysis/get_cp.m,885740,https://borealisdata.ca/api/access/datafile/885740,6ae37f2890733c8db6699dbf0439257d,Influence_of_the_coating_on_the_interfacial_heat_transfer_coefficient_in_hot_stamping_of_AlSi_coated_22MnB5_steel/Temp_Data_Coating_Weight_Dwell_Time_Pressure/150_6minutes/get_cp.m,885726,https://borealisdata.ca/api/access/datafile/885726?format=original,False,False
